trial,stimulus,prime,word,responsetime,accuracy
581,15,PH2,morgue,609,1
582,52,NL1,arrest,595,1
583,8,PH1,dismal,516,1
584,60,NL2,arrest,531,1
585,31,PL2,fatal,523,1
586,43,NH2,morgue,647,1
587,47,NH2,relax,587,1
588,29,PL2,morgue,623,1
589,10,PH2,payday,586,1
590,54,NL1,comfy,575,1
591,50,NL1,dismal,532,1
592,26,PL2,comfy,575,1
593,48,NH2,comfy,579,1
594,20,PL1,payday,662,1
595,6,PH1,arrest,587,1
596,36,NH1,dismal,520,1
597,14,PH2,arrest,568,1
598,19,PL1,excite,502,1
599,49,NL1,morgue,579,1
600,63,NL2,excite,686,1
601,19,PL1,excite,427,1
602,56,NL1,payday,933,1
603,11,PH2,relax,821,1
604,31,PL2,fatal,633,1
605,6,PH1,arrest,845,1
606,62,NL2,comfy,698,1
607,44,NH2,dismal,610,1
608,20,PL1,payday,632,1
609,8,PH1,dismal,509,1
610,10,PH2,payday,483,1
611,50,NL1,dismal,534,1
612,41,NH2,fatal,876,1
613,36,NH1,dismal,559,1
614,27,PL2,excite,627,1
615,9,PH2,excite,620,1
616,2,PH1,payday,813,1
617,42,NH2,arrest,509,1
618,3,PH1,relax,896,1
619,23,PL1,fatal,545,1
620,18,PL1,comfy,823,1
621,13,PH2,fatal,581,1
622,64,NL2,payday,574,1
623,60,NL2,arrest,528,1
624,53,NL1,relax,561,1
625,52,NL1,arrest,530,1
626,59,NL2,fatal,478,1
627,16,PH2,dismal,514,1
628,54,NL1,comfy,835,1
629,17,PL1,relax,443,1
630,57,NL2,morgue,626,1
631,4,PH1,comfy,515,1
632,5,PH1,fatal,554,1
633,34,NH1,arrest,639,1
634,14,PH2,arrest,841,1
635,55,NL1,excite,501,1
636,37,NH1,excite,907,1
637,48,NH2,comfy,747,1
638,40,NH1,comfy,660,1
639,1,PH1,excite,430,1
640,61,NL2,relax,671,1
641,25,PL2,relax,551,1
642,47,NH2,relax,589,1
643,38,NH1,payday,476,1
644,46,NH2,payday,529,1
645,51,NL1,fatal,515,1
646,43,NH2,morgue,584,1
647,22,PL1,dismal,521,1
648,45,NH2,excite,522,1
649,35,NH1,morgue,505,1
650,21,PL1,morgue,481,1
651,12,PH2,comfy,562,1
652,24,PL1,arrest,549,1
653,58,NL2,dismal,570,1
654,49,NL1,morgue,586,1
655,26,PL2,comfy,558,1
656,28,PL2,payday,754,1
657,33,NH1,fatal,510,1
658,7,PH1,morgue,523,1
659,48,NH2,comfy,650,1
660,42,NH2,arrest,539,1
661,43,NH2,morgue,624,1
662,55,NL1,excite,519,1
663,23,PL1,fatal,652,1
664,4,PH1,comfy,750,1
665,18,PL1,comfy,465,1
666,25,PL2,relax,490,1
667,28,PL2,payday,602,1
668,2,PH1,payday,491,1
669,36,NH1,dismal,635,1
670,13,PH2,fatal,538,1
671,20,PL1,payday,484,1
672,53,NL1,relax,664,1
673,62,NL2,comfy,501,1
674,54,NL1,comfy,400,1
675,34,NH1,arrest,436,1
676,35,NH1,morgue,525,1
677,58,NL2,dismal,460,1
678,3,PH1,relax,500,1
679,57,NL2,morgue,576,1
680,60,NL2,arrest,466,1
681,51,NL1,fatal,558,1
682,52,NL1,arrest,475,1
683,30,PL2,dismal,610,1
684,50,NL1,dismal,439,1
685,49,NL1,morgue,505,1
686,9,PH2,excite,419,1
687,6,PH1,arrest,715,1
688,33,NH1,fatal,471,1
689,7,PH1,morgue,398,1
690,39,NH1,relax,649,1
691,47,NH2,relax,450,1
692,31,PL2,fatal,440,1
693,17,PL1,relax,464,1
694,64,NL2,payday,538,1
695,41,NH2,fatal,406,1
696,15,PH2,morgue,537,1
697,44,NH2,dismal,439,1
698,32,PL2,arrest,456,1
699,26,PL2,comfy,480,1
700,46,NH2,payday,506,1
701,11,PH2,relax,454,1
702,40,NH1,comfy,529,1
703,1,PH1,excite,486,1
704,19,PL1,excite,480,1
705,21,PL1,morgue,545,1
706,38,NH1,payday,565,1
707,27,PL2,excite,449,1
708,5,PH1,fatal,429,1
709,10,PH2,payday,659,1
710,22,PL1,dismal,738,1
711,24,PL1,arrest,593,1
712,37,NH1,excite,451,1
713,16,PH2,dismal,576,1
714,29,PL2,morgue,468,1
715,12,PH2,comfy,582,1
716,61,NL2,relax,460,1
717,45,NH2,excite,443,1
718,8,PH1,dismal,493,1
719,16,PH2,dismal,579,1
720,28,PL2,payday,846,1
721,26,PL2,comfy,920,1
722,64,NL2,payday,679,1
723,37,NH1,excite,657,1
724,24,PL1,arrest,619,1
725,14,PH2,arrest,728,1
726,43,NH2,morgue,569,1
727,38,NH1,payday,584,1
728,19,PL1,excite,432,1
729,4,PH1,comfy,570,1
730,52,NL1,arrest,529,1
731,33,NH1,fatal,666,1
732,23,PL1,fatal,460,1
733,53,NL1,relax,710,1
734,32,PL2,arrest,728,1
735,30,PL2,dismal,632,1
736,47,NH2,relax,488,2
737,8,PH1,dismal,618,1
738,9,PH2,excite,398,2
739,48,NH2,comfy,584,1
740,44,NH2,dismal,521,1
741,36,NH1,dismal,545,1
742,17,PL1,relax,714,2
743,41,NH2,fatal,490,1
744,1,PH1,excite,641,1
745,20,PL1,payday,530,2
746,25,PL2,relax,649,1
747,59,NL2,fatal,394,1
748,61,NL2,relax,434,2
749,2,PH1,payday,534,1
750,13,PH2,fatal,560,1
751,54,NL1,comfy,488,2
752,22,PL1,dismal,662,1
753,21,PL1,morgue,562,1
754,29,PL2,morgue,465,2
755,55,NL1,excite,904,1
756,15,PH2,morgue,865,1
757,34,NH1,arrest,570,1
758,6,PH1,arrest,768,2
759,45,NH2,excite,601,1
760,56,NL1,payday,505,1
761,27,PL2,excite,401,2
762,46,NH2,payday,505,1
763,57,NL2,morgue,639,1
764,49,NL1,morgue,744,1
765,62,NL2,comfy,601,1
766,5,PH1,fatal,400,1
767,35,NH1,morgue,531,1
768,50,NL1,dismal,584,1
769,10,PH2,payday,504,1
770,12,PH2,comfy,561,1
771,31,PL2,fatal,761,1
772,39,NH1,relax,719,1
773,7,PH1,morgue,402,1
774,11,PH2,relax,689,1
775,18,PL1,comfy,450,1
